epoch,train_loss,val_loss,val_accuracy,train_pos_sim,train_neg_sim,learning_rate
1,0.5545077738165856,0.4569413733482361,0.49,0.16130897925828425,0.10496075501811206,5e-05
2,0.4397565969824791,0.36675562769174574,0.635,0.3048979054202738,0.08062340919222127,4.877641290737884e-05
3,0.3566822896897793,0.3415243545174599,0.705,0.39743629990674345,-0.013421074367722628,4.522542485937368e-05
4,0.2994825230538845,0.334031543917954,0.725,0.4718961226170325,-0.08090205826115747,3.969463130731183e-05
5,0.2638028288632631,0.3336262083798647,0.71,0.49440372379882563,-0.1556576478848926,3.2725424859373684e-05
6,0.22827859153971075,0.33837004240602253,0.72,0.5357709756583128,-0.1922513575208872,2.4999999999999998e-05
7,0.217114370316267,0.339779288796708,0.715,0.5661071696678353,-0.20493752638123985,1.7274575140626315e-05
8,0.2028867993503809,0.34189665362937377,0.725,0.5788623646301839,-0.2297718864706206,1.0305368692688173e-05
9,0.19287848740816116,0.34336838755989446,0.725,0.5907027226851305,-0.2352543625295217,4.774575140626316e-06
10,0.19246293496340514,0.3435018752887845,0.725,0.5949131550238757,-0.23270149901281578,1.2235870926211614e-06
